StudentID,SubjectName,Type,Score,Date
STU00000,Math,Core,67,2024-01-01
STU00001,Math,Core,52,2024-01-01
STU00002,Math,Core,79,2024-01-01
STU00003,Math,Core,23,2024-01-01
STU00004,Math,Core,88,2024-01-01
STU00005,Math,Core,74,2024-01-01
STU00006,Math,Core,13,2024-01-01
STU00007,Math,Core,83,2024-01-01
STU00008,Math,Core,48,2024-01-01
STU00009,Math,Core,78,2024-01-01
STU00010,Math,Core,30,2024-01-01
STU00011,Math,Core,89,2024-01-01
STU00012,Math,Core,19,2024-01-01
STU00013,Math,Core,18,2024-01-01
STU00014,Math,Core,71,2024-01-01
STU00015,Math,Core,30,2024-01-01
STU00016,Math,Core,53,2024-01-01
STU00017,Math,Core,10,2024-01-01
STU00018,Math,Core,91,2024-01-01
STU00019,Math,Core,76,2024-01-01
STU00020,Math,Core,50,2024-01-01
STU00021,Math,Core,77,2024-01-01
STU00022,Math,Core,18,2024-01-01
STU00023,Math,Core,91,2024-01-01
STU00024,Math,Core,47,2024-01-01
STU00025,Math,Core,36,2024-01-01
STU00026,Math,Core,100,2024-01-01
STU00027,Math,Core,76,2024-01-01
STU00028,Math,Core,92,2024-01-01
STU00029,Math,Core,95,2024-01-01
STU00030,Math,Core,56,2024-01-01
STU00031,Math,Core,91,2024-01-01
STU00032,Math,Core,5,2024-01-01
STU00033,Math,Core,51,2024-01-01
STU00034,Math,Core,16,2024-01-01
STU00035,Math,Core,53,2024-01-01
STU00036,Math,Core,68,2024-01-01
STU00037,Math,Core,5,2024-01-01
STU00038,Math,Core,25,2024-01-01
STU00039,Math,Core,88,2024-01-01
STU00040,Math,Core,87,2024-01-01
STU00041,Math,Core,55,2024-01-01
STU00042,Math,Core,36,2024-01-01
STU00043,Math,Core,85,2024-01-01
STU00044,Math,Core,70,2024-01-01
STU00045,Math,Core,97,2024-01-01
STU00046,Math,Core,23,2024-01-01
STU00047,Math,Core,60,2024-01-01
STU00048,Math,Core,89,2024-01-01
STU00049,Math,Core,77,2024-01-01
STU00050,Math,Core,87,2024-01-01
STU00051,Math,Core,95,2024-01-01
STU00052,Math,Core,28,2024-01-01
STU00053,Math,Core,69,2024-01-01
STU00054,Math,Core,14,2024-01-01
STU00055,Math,Core,6,2024-01-01
STU00056,Math,Core,44,2024-01-01
STU00057,Math,Core,19,2024-01-01
STU00058,Math,Core,97,2024-01-01
STU00059,Math,Core,18,2024-01-01
STU00060,Math,Core,29,2024-01-01
STU00061,Math,Core,24,2024-01-01
STU00062,Math,Core,76,2024-01-01
STU00063,Math,Core,26,2024-01-01
STU00064,Math,Core,86,2024-01-01
STU00065,Math,Core,99,2024-01-01
STU00066,Math,Core,2,2024-01-01
STU00067,Math,Core,21,2024-01-01
STU00068,Math,Core,0,2024-01-01
STU00069,Math,Core,44,2024-01-01
STU00070,Math,Core,45,2024-01-01
STU00071,Math,Core,95,2024-01-01
STU00072,Math,Core,95,2024-01-01
STU00073,Math,Core,73,2024-01-01
STU00074,Math,Core,28,2024-01-01
STU00075,Math,Core,68,2024-01-01
STU00076,Math,Core,67,2024-01-01
STU00077,Math,Core,67,2024-01-01
STU00078,Math,Core,70,2024-01-01
STU00079,Math,Core,13,2024-01-01
STU00080,Math,Core,79,2024-01-01
STU00081,Math,Core,53,2024-01-01
STU00082,Math,Core,7,2024-01-01
STU00083,Math,Core,83,2024-01-01
STU00084,Math,Core,22,2024-01-01
STU00085,Math,Core,62,2024-01-01
STU00086,Math,Core,86,2024-01-01
STU00087,Math,Core,99,2024-01-01
STU00088,Math,Core,76,2024-01-01
STU00089,Math,Core,6,2024-01-01
STU00090,Math,Core,51,2024-01-01
STU00091,Math,Core,49,2024-01-01
STU00092,Math,Core,28,2024-01-01
STU00093,Math,Core,73,2024-01-01
STU00094,Math,Core,93,2024-01-01
STU00095,Math,Core,10,2024-01-01
STU00096,Math,Core,72,2024-01-01
STU00097,Math,Core,50,2024-01-01
STU00098,Math,Core,27,2024-01-01
STU00099,Math,Core,83,2024-01-01
STU00100,Math,Core,17,2024-01-01
STU00101,Math,Core,76,2024-01-01
STU00102,Math,Core,21,2024-01-01
STU00103,Math,Core,19,2024-01-01
STU00104,Math,Core,29,2024-01-01
STU00105,Math,Core,8,2024-01-01
STU00106,Math,Core,89,2024-01-01
STU00107,Math,Core,63,2024-01-01
STU00108,Math,Core,76,2024-01-01
STU00109,Math,Core,2,2024-01-01
STU00110,Math,Core,62,2024-01-01
STU00111,Math,Core,88,2024-01-01
STU00112,Math,Core,20,2024-01-01
STU00113,Math,Core,69,2024-01-01
STU00114,Math,Core,12,2024-01-01
STU00115,Math,Core,52,2024-01-01
STU00116,Math,Core,74,2024-01-01
STU00117,Math,Core,16,2024-01-01
STU00118,Math,Core,99,2024-01-01
STU00119,Math,Core,12,2024-01-01
STU00120,Math,Core,87,2024-01-01
STU00121,Math,Core,72,2024-01-01
STU00122,Math,Core,89,2024-01-01
STU00123,Math,Core,11,2024-01-01
STU00124,Math,Core,7,2024-01-01
STU00125,Math,Core,79,2024-01-01
STU00126,Math,Core,17,2024-01-01
STU00127,Math,Core,14,2024-01-01
STU00128,Math,Core,36,2024-01-01
STU00129,Math,Core,25,2024-01-01
STU00130,Math,Core,58,2024-01-01
STU00131,Math,Core,43,2024-01-01
STU00132,Math,Core,68,2024-01-01
STU00133,Math,Core,33,2024-01-01
STU00134,Math,Core,77,2024-01-01
STU00135,Math,Core,31,2024-01-01
STU00136,Math,Core,19,2024-01-01
STU00137,Math,Core,94,2024-01-01
STU00138,Math,Core,46,2024-01-01
STU00139,Math,Core,85,2024-01-01
STU00140,Math,Core,10,2024-01-01
STU00141,Math,Core,32,2024-01-01
STU00142,Math,Core,45,2024-01-01
STU00143,Math,Core,27,2024-01-01
STU00144,Math,Core,66,2024-01-01
STU00145,Math,Core,41,2024-01-01
STU00146,Math,Core,78,2024-01-01
STU00147,Math,Core,9,2024-01-01
STU00148,Math,Core,61,2024-01-01
STU00149,Math,Core,4,2024-01-01
STU00150,Math,Core,76,2024-01-01
STU00151,Math,Core,73,2024-01-01
STU00152,Math,Core,10,2024-01-01
STU00153,Math,Core,77,2024-01-01
STU00154,Math,Core,67,2024-01-01
STU00155,Math,Core,84,2024-01-01
STU00156,Math,Core,23,2024-01-01
STU00157,Math,Core,25,2024-01-01
STU00158,Math,Core,99,2024-01-01
STU00159,Math,Core,16,2024-01-01
STU00160,Math,Core,82,2024-01-01
STU00161,Math,Core,90,2024-01-01
STU00162,Math,Core,85,2024-01-01
STU00163,Math,Core,74,2024-01-01
STU00164,Math,Core,94,2024-01-01
STU00165,Math,Core,35,2024-01-01
STU00166,Math,Core,72,2024-01-01
STU00167,Math,Core,9,2024-01-01
STU00168,Math,Core,28,2024-01-01
STU00169,Math,Core,85,2024-01-01
STU00170,Math,Core,37,2024-01-01
STU00171,Math,Core,48,2024-01-01
STU00172,Math,Core,60,2024-01-01
STU00173,Math,Core,37,2024-01-01
STU00174,Math,Core,18,2024-01-01
STU00175,Math,Core,21,2024-01-01
STU00176,Math,Core,96,2024-01-01
STU00177,Math,Core,59,2024-01-01
STU00178,Math,Core,59,2024-01-01
STU00179,Math,Core,7,2024-01-01
STU00180,Math,Core,100,2024-01-01
STU00181,Math,Core,69,2024-01-01
STU00182,Math,Core,5,2024-01-01
STU00183,Math,Core,6,2024-01-01
STU00184,Math,Core,75,2024-01-01
STU00185,Math,Core,15,2024-01-01
STU00186,Math,Core,54,2024-01-01
STU00187,Math,Core,5,2024-01-01
STU00188,Math,Core,24,2024-01-01
STU00189,Math,Core,51,2024-01-01
STU00190,Math,Core,67,2024-01-01
STU00191,Math,Core,37,2024-01-01
STU00192,Math,Core,58,2024-01-01
STU00193,Math,Core,4,2024-01-01
STU00194,Math,Core,86,2024-01-01
STU00195,Math,Core,51,2024-01-01
STU00196,Math,Core,27,2024-01-01
STU00197,Math,Core,58,2024-01-01
STU00198,Math,Core,11,2024-01-01
STU00199,Math,Core,30,2024-01-01
STU00200,Math,Core,78,2024-01-01
STU00201,Math,Core,80,2024-01-01
STU00202,Math,Core,18,2024-01-01
STU00203,Math,Core,95,2024-01-01
STU00204,Math,Core,12,2024-01-01
STU00205,Math,Core,74,2024-01-01
STU00206,Math,Core,82,2024-01-01
STU00207,Math,Core,81,2024-01-01
STU00208,Math,Core,82,2024-01-01
STU00209,Math,Core,32,2024-01-01
STU00210,Math,Core,26,2024-01-01
STU00211,Math,Core,31,2024-01-01
STU00212,Math,Core,16,2024-01-01
STU00213,Math,Core,28,2024-01-01
STU00214,Math,Core,49,2024-01-01
STU00215,Math,Core,40,2024-01-01
STU00216,Math,Core,64,2024-01-01
STU00217,Math,Core,56,2024-01-01
STU00218,Math,Core,92,2024-01-01
STU00219,Math,Core,0,2024-01-01
STU00220,Math,Core,33,2024-01-01
STU00221,Math,Core,68,2024-01-01
