GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Student-Grade-Management,default,App,1323,0,83,0,393,0,65,0,15,0
Student-Grade-Management,default,ClassStatistics,75,796,14,34,9,116,12,30,0,18
Student-Grade-Management,default,SubjectFactory,15,29,1,3,2,5,2,2,1,1
Student-Grade-Management,default,HonorsStudent,76,33,4,2,9,10,3,5,1,4
Student-Grade-Management,default,CoreSubject,54,10,2,0,7,4,3,2,2,2
Student-Grade-Management,default,ReportGenerator,1,272,1,3,0,43,1,6,0,5
Student-Grade-Management,default,DataSeeder,200,0,0,0,26,0,2,0,2,0
Student-Grade-Management,default,BulkImportService,95,336,7,11,20,71,5,11,0,7
Student-Grade-Management,default,Grade,156,63,17,5,23,14,15,8,6,6
Student-Grade-Management,default,StudentManager,200,181,16,10,32,31,14,8,4,5
Student-Grade-Management,default,Student,51,79,1,5,5,21,4,11,3,9
Student-Grade-Management,default,Subject,3,12,0,0,1,5,1,2,1,2
Student-Grade-Management,default,StudentSearchService,481,69,51,8,114,12,36,7,9,3
Student-Grade-Management,default,GradeManager,389,268,37,33,54,53,29,18,4,8
Student-Grade-Management,default,FileExporter,78,0,6,0,16,0,7,0,4,0
Student-Grade-Management,default,SimpleCSVParser,21,41,1,3,1,12,1,3,0,2
Student-Grade-Management,default,GPACalculator,205,138,24,34,40,39,19,15,1,4
Student-Grade-Management,default,ElectiveSubject,56,8,2,0,8,3,4,1,3,1
Student-Grade-Management,default,RegularStudent,49,15,0,0,5,5,1,3,1,3
Student-Grade-Management,utils,ValidationUtils,3,44,0,12,1,11,1,10,1,4
Student-Grade-Management,utils,Logger,62,0,2,0,10,0,5,0,4,0
Student-Grade-Management,exceptions,StudentNotFoundException,0,13,0,0,0,2,0,1,0,1
Student-Grade-Management,exceptions,InvalidDataException,0,4,0,0,0,2,0,1,0,1
Student-Grade-Management,exceptions,InvalidFileFormatException,4,0,0,0,2,0,1,0,1,0
Student-Grade-Management,exceptions,GradeManagementException,0,4,0,0,0,2,0,1,0,1
Student-Grade-Management,exceptions,InvalidGradeException,11,0,0,0,2,0,1,0,1,0
